MCC,Pays
202,Grèce
204,Pays-Bas
206,Belgique
208,France
212,Monaco
213,Andorre
214,Espagne
216,Hongrie
218,Bosnie Herzégovine
219,Croatie
220,Serbie
221,Kosovo
222,Italie
225,Vatican
226,Roumanie
228,Suisse
230,Tchéquie
231,Slovaquie
232,Autriche
234,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord
235,Royaume-Uni de Grande-Bretagne et d'Irlande du Nord
238,Danemark
240,Suède
242,Norvège
244,Finlande
246,Lituanie
247,Lettonie
248,Estonie
250,Russie
255,Ukraine
257,Biélorussie
259,Moldavie
260,Pologne
262,Allemagne
266,Gibraltar
268,Portugal
270,Luxembourg
272,Irlande
274,Islande
276,Albanie
278,Malte
280,Chypre
282,Géorgie
283,Arménie
284,Bulgarie
286,Turquie
288,Îles Féroé
290,Groenland
292,Saint-Marin
293,Slovénie
294,Macédoine du Nord
295,Liechtenstein
297,Monténégro
302,Canada
308,Saint Pierre et Miquelon
310,Etats-Unis d'Amérique
311,Etats-Unis d'Amérique
312,Etats-Unis d'Amérique
313,Etats-Unis d'Amérique
314,Etats-Unis d'Amérique
315,Etats-Unis d'Amérique
316,Etats-Unis d'Amérique
330,Porto Rico
332,Îles Vierges américaines
334,Mexique
338,Jamaïque
340,Guadeloupe
340,Martinique
342,Barbade
344,Antigua-et-Barbuda
346,Îles Caïmans
348,Îles Vierges britanniques
350,Bermudes
352,Grenade
354,Montserrat
356,Saint-Christophe-et-Niévès
358,Sainte-Lucie
360,Saint-Vincent-et-les-Grenadines
362,"Bonaire, Saint-Eustache et Saba"
362,Curaçao
362,Sint Maarten
363,Aruba
364,Bahamas
365,Anguilla
366,Dominique
368,Cuba
370,République Dominicaine
372,Haïti
374,Trinité-et-Tobago
376,îles Turques-et-Caïques
400,Azerbaïdjan
401,Kazakhstan
402,Bhoutan
404,Inde
405,Inde
406,Inde
410,Pakistan
412,Afghanistan
413,Sri Lanka
414,Myanmar
415,Liban
416,Jordanie
417,Syrie
418,Irak
419,Koweït
420,Arabie Saoudite
421,Yémen
422,Oman
424,Emirats Arabes Unis
425,Israël
426,Bahreïn
427,Qatar
428,Mongolie
429,Népal
430,Emirats Arabes Unis
431,Emirats Arabes Unis
432,Iran
434,Ouzbékistan
436,Tadjikistan
437,Kirghizistan
438,Turkménistan
440,Japon
441,Japon
450,Corée du Sud
452,Viet Nam
454,Hong Kong
455,Macao
456,Cambodge
457,Laos
460,Chine
461,Chine
466,Taiwan
467,Corée du Nord
470,Bangladesh
472,Maldives
502,Malaisie
505,Australie
510,Indonésie
514,Timor-Leste
515,Philippines
520,Thaïlande
525,Singapour
528,Brunei Darussalam
530,Nouvelle-Zélande
536,Nauru
537,Papouasie Nouvelle Guinée
539,Tonga
540,Îles Salomon
541,Vanuatu
542,Fidji
543,Wallis et Futuna
544,Samoa américaines
545,Kiribati
546,Nouvelle-Calédonie
547,Polynésie française
548,Îles Cook
549,Samoa
550,Micronésie
551,Îles Marshall
552,Palau
553,Tuvalu
554,Tokelau
555,Niue
602,Égypte
603,Algérie
604,Maroc
605,Tunisie
606,Libye
607,Gambie
608,Sénégal
609,Mauritanie
610,Mali
611,Guinée
612,Côte d'Ivoire
613,Burkina Faso
614,Niger
615,Togo
616,Bénin
617,Maurice
618,Libéria
619,Sierra Leone
620,Ghana
621,Nigéria
622,Tchad
623,République centrafricaine
624,Cameroun
625,Cap Vert
626,Sao Tomé et Principe
627,Guinée équatoriale
628,Gabon
629,Congo
630,République Démocratique du Congo
631,Angola
632,Guinée-Bissau
633,Seychelles
634,Soudan
635,Rwanda
636,Éthiopie
637,Somalie
638,Djibouti
639,Kenya
640,Tanzanie
641,Ouganda
642,Burundi
643,Mozambique
645,Zambie
646,Madagascar
647,Départements et territoires français de l'océan Indien
648,Zimbabwe
649,Namibie
650,Malawi
651,Lesotho
652,Botswana
653,Eswatini
654,Comores
655,Afrique du Sud
657,Érythrée
658,"Sainte-Hélène, Ascension et Tristan da Cunha"
659,Soudan du Sud
702,Belize
704,Guatemala
706,El Salvador
708,Honduras
710,Nicaragua
712,Costa Rica
714,Panama
716,Pérou
722,Argentine
724,Brésil
730,Chili
732,Colombie
734,Vénézuela
736,Bolivie
738,Guyana
740,Equateur
742,Guyane française
744,Paraguay
746,Suriname
748,Uruguay
750,Îles Falkland
